# no_centre,attribut_0,attribut_1
0,57.101010101,297.060606061
1,438.12039312,28.9262899263
2,288.6,294.92
3,96.0759493671,214.987341772
4,416.776699029,31.1029126214
5,76.9090909091,179.227272727
6,374.516666667,77.8
7,352.09375,17.4270833333
8,436.038461538,136.673076923
9,484.227272727,221.909090909
10,124.3125,185.15625
11,421.04526749,207.403292181
12,220.484848485,138.427272727
13,268.189189189,211.932432432
14,314.330935252,53.345323741
15,200.759259259,351.407407407
16,473.383561644,60.1095890411
17,425.217687075,327.68707483
18,135.211538462,311.5
19,343.414448669,49.4942965779
